Najwa¿niejsz¹ rzecz¹ jest, aby cieszyæ siê swoim ¿yciem – byæ szczêœliwym – tylko to siê liczy.;Audrey Hepburn
Nie chcê pod koniec ¿ycia stwierdziæ, ¿e prze¿y³am tylko jego d³ugoœæ. Chcê prze¿yæ te¿ pe³n¹ jego szerokoœæ.;Diane Ackerman
¯ycia nie mierzy siê iloœci¹ oddechów, ale iloœci¹ chwil, które zapieraj¹ dech w piersiach.;Maya Angelou
Najpiêkniejszych chwil w ¿yciu nie zaplanujesz. One przyjd¹ same.;Phil Bosmans
Je¿eli robisz to co ³atwe, Twoje ¿ycie bêdzie trudne. Jeœli robisz to co trudne, Twoje ¿ycie bêdzie ³atwe.;Les Brown
¯ycie po prostu jest. Trzeba p³yn¹æ wraz z nim.;Jerry Brown
¯ycie jest czymœ, co przydarza siê nam w czasie, kiedy jesteœmy zajêci planowaniem innych rzeczy.;Anthony de Mello
¯ycie bez radoœci jest jak d³uga podró¿ bez gospody.;Demokryt z Abdery
¯ycie jest zbyt krótkie, ¿eby by³o ma³e.;Benjamin Disraeli
Jeœli kiedykolwiek zamierzasz cieszyæ siê ¿yciem – teraz jest na to czas – nie jutro, nie za rok. Dzisiaj powinno byæ zawsze najwspanialszym dniem.;Thomas Dreier
¯ycie jest wspania³e, nale¿y tylko spogl¹daæ na nie przez w³aœciwe okulary.;Aleksander Dumas, ojciec
Najcenniejszych rzeczy w ¿yciu nie nabywa siê za pieni¹dze.;Albert Einstein
Przyjemnoœæ jest pocz¹tkiem i celem ¿ycia szczêœliwego.;Epikur
Kiedy cz³owiek boi siê coœ zrobiæ, wtedy wie, ¿e ¿yje. Ale kiedy cz³owiek nie robi czegoœ, tylko dlatego, ¿e siê boi, to wtedy jest martwy.;William Faulkner
